,level,parent,name,q,eppo,hosts,hosts_ix,corr_deseases
0,2,551,Basidiomycota,Q174698,1BASIP,[],[],"[[""witch's broom"", ""Q755981""]]"
1,4,554,Peronosporales,Q621829,1PEROO,[],[],"[[""downy mildew"", ""Q1394849""]]"
2,8,560,Phoma,Q2066891,1PHOMG,[],[],"[[""black wood-vessel disease"", ""Q3382633""], [""Phoma blight"", ""Q65306828""]]"
3,7,566,Scolytinae,Q720458,1SCOLS,[],[],"[[""Bark beetle infestation in Europe"", ""Q109019501""]]"
4,5,568,Pucciniales,Q1130524,1UREDO,[],[],"[[""rust"", ""Q4273292""]]"
5,9,576,Apple chlorotic leafspot virus,Q4781267,ACLSV0,"[[""Crataegus monogyna"", ""Q161511"", ""CSCMO""], [""Prunus cerasoides"", ""Q150149"", ""PRNCS""], [""Prunus cerasus"", ""Q131517"", ""PRNCE""], [""Prunus persica"", ""Q13189"", ""PRNPS""], [""Prunus domestica"", ""Q44120"", ""PRNDO""], [""Pyrus pyrifolia"", ""Q838963"", ""PYUPY""], [""Malus sieversii"", ""Q728769"", ""MABSI""], [""Malus x platycarpa"", ""MABPL""], [""Prunus cerasifera"", ""Q146951"", ""PRNCF""], [""Chaenomeles japonica"", ""Q158037"", ""CNMJA""], [""Crataegus pinnatifida"", ""Q1141735"", ""CSCPI""], [""Cydonia oblonga"", ""Q43300"", ""CYDOB""], [""Prunus dulcis"", ""Q39918"", ""PRNDU""], [""Eriobotrya japonica"", ""Q41505"", ""EIOJA""], [""Prunus armeniaca"", ""Q37453"", ""PRNAR""], [""Prunus spinosa"", ""Q129018"", ""PRNSN""], [""Styrax officinalis"", ""Q1281140"", ""STXOF""], [""Malus floribunda"", ""MABFB""], [""Malus coronaria"", ""Q1936759"", ""MABCO""], [""Pyrus betulifolia"", ""Q9281564"", ""PYUBE""], [""Prunus tomentosa"", ""Q627393"", ""PRNTO""], [""Amelanchier canadensis"", ""Q159030"", ""AMECA""], [""Malus x robusta"", ""MABRO""], [""Prunus salicina"", ""Q1250033"", ""PRNSC""], [""Pyrus communis"", ""Q146281"", ""PYUCO""], [""Malus domestica"", ""Q18674606"", ""MABSD""], [""Prunus avium"", ""Q165137"", ""PRNAV""], [""Mespilus germanica"", ""Q146186"", ""MSPGE""]]","[547, 1526, 1521, 1551, 1529, 1603, 1171, 1165, 1522, 507, 549, 647, 1531, 770, 1516, 1558, 1912, 1154, 1153, 1597, 1563, 209, 1167, 1554, 1600, 1169, 1517, 1231]","[[""Q114352465"", ""Q114352465""]]"
6,9,581,Sarocladium strictum,,ACREST,"[[""Zea mays"", ""Q11575"", ""ZEAMX""]]",[2088],"[[""Black bundle disease""]]"
7,7,587,Agrobacterium tumefaciens,Q131472,AGRBTU,"[[""Carya illinoinensis"", ""Q333877"", ""CYAIL""], [""Fuchsia"", ""Q161066"", ""FUCHY""], [""Prunus cerasus"", ""Q131517"", ""PRNCE""], [""Chrysanthemum"", ""Q59882"", ""CHYIN""], [""Prunus persica"", ""Q13189"", ""PRNPS""], [""herbaceous ornamental plants"", ""2ORNH""], [""Brassica oleracea var. italica"", ""Q47722"", ""BRSOK""], [""Prunus domestica"", ""Q44120"", ""PRNDO""], [""Corylus"", ""Q145889"", ""1CYLG""], [""Dahlia pinnata"", ""Q1549236"", ""DAHPI""], [""Poinsettia"", ""Q15711519"", ""EPHPU""], [""Rhododendron"", ""Q189393"", ""RHOPO""], [""Ipomoea batatas"", ""Q37937"", ""IPOBA""], [""Helianthus annuus"", ""Q171497"", ""HELAN""], [""Brassica napus"", ""Q177932"", ""BRSNN""], [""Theobroma cacao"", ""Q42385"", ""THOCA""], [""Vitis vinifera"", ""Q30046"", ""VITVI""], [""Vaccinium"", ""Q5079636"", ""1VACG""], [""Aguacate"", ""Q37153"", ""PEBAM""], [""Primula"", ""Q158974"", ""1PRIG""], [""Camellia sinensis"", ""Q101815"", ""CAHSI""], [""Cineraria"", ""Q2360058"", ""SENCR""], [""Cydonia oblonga"", ""Q43300"", ""CYDOB""], [""Mangifera indica"", ""Q3919027"", ""MNGIN""], [""Brassicaceae"", ""Q156888"", ""1CRUF""], [""Dianthus caryophyllus"", ""Q158984"", ""DINCA""], [""Passiflora edulis"", ""Q156790"", ""PAQED""], [""Prunus dulcis"", ""Q39918"", ""PRNDU""], [""Malus"", ""Q104819"", ""1MABG""], [""Musa x paradisiaca"", ""MUBPA""], [""Rosa"", ""Q34687"", ""1ROSG""], [""Prunus armeniaca"", ""Q37453"", ""PRNAR""], [""Anemone"", ""Q158286"", ""ANMCO""], [""Juglans regia"", ""Q46871"", ""IUGRE""], [""Geranium"", ""Q157211"", ""1GERG""], [""Campanula"", ""Q157069"", ""1CMPG""], [""Beta vulgaris"", ""Q165191"", ""BEAVX""], [""Brassica"", ""Q58677"", ""1BRSG""], [""Asclepias syriaca"", ""Q158295"", ""ASCSY""], [""Medicago sativa"", ""Q156106"", ""MEDSA""], [""Cannabis sativa"", ""Q26726"", ""CNISA""], [""Gossypium hirsutum"", ""Q133481"", ""GOSHI""], [""Kalanchoe"", ""Q312063"", ""1KANG""], [""Humulus lupulus"", ""Q104212"", ""HUMLU""], [""Prunus salicina"", ""Q1250033"", ""PRNSC""], [""Pyrus"", ""Q434"", ""1PYUG""], [""Prunus amygdalus"", ""Q15545507"", ""PRNDU""], [""Mimulus"", ""Q159372"", ""1MIUG""], [""Prunus avium"", ""Q165137"", ""PRNAV""], [""Corylus avellana"", ""Q124969"", ""CYLAV""], [""Daucus carota subsp. sativus"", ""Q11678009"", ""DAUCS""], [], [""Vaccinium"", ""1VACG""]]","[642, 869, 1521, 12, 1551, 100, 324, 1529, 34, 674, 787, 1674, 996, 937, 319, 1939, 2069, 96, 1306, 72, 341, 1790, 647, 1219, 22, 711, 1290, 1531, 58, 1238, 81, 1516, 7, 1005, 45, 15, 281, 9, 255, 1200, 506, 911, 54, 972, 1554, 77, 1531, 61, 1517, 651, 683, 96]","[[""crown gall disease"", ""Q12425880""], [""Crown gall""]]"
8,7,590,Albugo candida,Q625190,ALBUCA,"[[""Brassicaceae"", ""Q156888"", ""1CRUF""]]",[22],"[[""White rust""]]"
9,7,591,Pustula tragopogonis,,ALBUTR,"[[""Helianthus annuus"", ""Q171497"", ""HELAN""]]",[937],"[[""White rust""]]"
10,9,593,Alternaria alternata,Q2704244,ALTEAL,"[[""Nicotiana tabacum"", ""Q181095"", ""NIOTA""], [""Mangifera indica"", ""Q3919027"", ""MNGIN""]]","[1260, 1219]","[[""Brown spot""], [""Fruit rot""]]"
11,9,593,Alternaria brassicicola,Q5234097,ALTEBI,[],[],"[[""black spot disease"", ""Q14789656""]]"
12,9,593,Alternaria mali,Q4736366,ALTEMA,"[[""Malus"", ""Q104819"", ""1MABG""], [""Malus domestica"", ""Q18674606"", ""MABSD""], [""Malus sylvestris"", ""Q47161"", ""MABSY""]]","[58, 1169, 1174]","[[""Alternaria blotch""]]"
13,9,593,Alternaria macrospora,Q15643804,ALTEMC,"[[""Gossypium hirsutum"", ""Q133481"", ""GOSHI""]]",[911],"[[""Leaf spot""]]"
14,9,593,Alternaria passiflorae,Q10406920,ALTEPA,"[[""Passiflora edulis"", ""Q156790"", ""PAQED""]]",[1290],"[[""Brown spot""]]"
15,9,593,Alternaria padwickii,Q4736368,ALTEPD,"[[""Oryza sativa"", ""Q161426"", ""ORYSA""]]",[1276],"[[""Stackburn""]]"
16,9,593,Alternaria porri,Q10406928,ALTEPO,"[[""Allium"", ""Q49391"", ""1ALLG""]]",[4],"[[""Purple blotch""]]"
17,9,593,Alternaria radicina,Q3021774,ALTERA,"[[""Daucus carota subsp. sativus"", ""Q11678009"", ""DAUCS""]]",[683],"[[""Black rot""]]"
18,9,593,Alternaria solani,Q2715597,ALTESO,"[[""Solanum tuberosum"", ""Q10998"", ""SOLTU""]]",[1866],"[[""early blight"", ""Q14789614""]]"
19,9,593,Alternaria sp.,Q133266,ALTESP,"[[""Solanum tuberosum"", ""Q10998"", ""SOLTU""]]",[1866],"[[""Alternaria leaf spot"", ""Q85741043""]]"
20,7,596,Aphanomyces euteiches,Q4779503,APHAEU,[],[],"[[""Aphanomyces root rot"", ""Q10726070""]]"
21,7,596,Aphanomyces raphani,Q4779505,APHARA,"[[""Brassica napus"", ""Q177932"", ""BRSNN""], [""Brassicaceae"", ""Q156888"", ""1CRUF""]]","[319, 22]","[[""Black root""]]"
22,9,599,Apple mosaic virus,Q4781279,APMV00,"[[""Rubus canescens"", ""Q3446529"", ""RUBCE""], [""Aesculus x carnea"", ""AECCR""], [""Clematis vitalba"", ""Q160100"", ""CLVVT""], [""Prunus persica"", ""Q13189"", ""PRNPS""], [""Prunus domestica subsp. insititia"", ""Q4996665"", ""PRNDT""], [""Salvia verbenaca"", ""Q1313052"", ""SALVB""], [""Aesculus flava"", ""Q159620"", ""AECOC""], [""Prunus domestica"", ""Q44120"", ""PRNDO""], [""Prunus mahaleb"", ""Q161920"", ""PRNMH""], [""Aesculus parviflora"", ""Q162440"", ""AECPA""], [""Ribes rubrum"", ""Q146661"", ""RIBRU""], [""Rubus occidentalis"", ""Q7376217"", ""RUBOC""], [""Prunus cerasifera"", ""Q146951"", ""PRNCF""], [""Betula pendula"", ""Q156895"", ""BETPE""], [""Rubus idaeus"", ""Q12252383"", ""RUBID""], [""Aesculus hippocastanum"", ""Q26899"", ""AECHI""], [""Artemisia vulgaris"", ""Q26663"", ""ARTVU""], [""Prunus dulcis"", ""Q39918"", ""PRNDU""], [""Scandix"", ""Q1439641"", ""1SCAG""], [""Betula alleghaniensis"", ""Q1499241"", ""BETAL""], [""Rubus ursinus"", ""Q3775270"", ""RUBUR""], [""Rosa"", ""Q34687"", ""1ROSG""], [""Crataegus"", ""Q132557"", ""1CSCG""], [""Prunus armeniaca"", ""Q37453"", ""PRNAR""], [""Prunus spinosa"", ""Q129018"", ""PRNSN""], [""Galeopsis"", ""Q161675"", ""1GAEG""], [""Prunus serrulata"", ""Q165321"", ""PRNSL""], [""Campanula"", ""Q157069"", ""1CMPG""], [""Prunus triloba"", ""Q2727171"", ""PRNTR""], [""Betula papyrifera"", ""Q76971"", ""BETPA""], [""Humulus lupulus"", ""Q104212"", ""HUMLU""], [""Aesculus"", ""Q158752"", ""1AECG""], [""Prunella"", ""Q148652"", ""1PRUNG""], [""Prunus salicina"", ""Q1250033"", ""PRNSC""], [""Pyrus communis"", ""Q146281"", ""PYUCO""], [""Rubus"", ""Q602740"", ""1RUBG""], [""Malus domestica"", ""Q18674606"", ""MABSD""], [""Prunus avium"", ""Q165137"", ""PRNAV""], [""Corylus avellana"", ""Q124969"", ""CYLAV""], [""Sorbus aucuparia"", ""Q146198"", ""SOUAU""], [""Fragaria x ananassa"", ""FRAAN""]]","[1725, 151, 498, 1551, 1530, 1754, 154, 1529, 1542, 155, 1688, 1731, 1522, 293, 1729, 152, 247, 1531, 85, 288, 1736, 81, 23, 1516, 1558, 44, 1557, 15, 1564, 291, 972, 3, 74, 1554, 1600, 82, 1169, 1517, 651, 1886, 848]","[[""apple mosaic disease"", ""Q11775187""]]"
23,9,600,Didymella fabae,Q5274263,ASCOFA,[],[],"[[""Q24573126"", ""Q24573126""]]"
24,9,600,Ascochyta hordei,Q4803963,ASCOHD,"[[""Hordeum vulgare"", ""Q11577"", ""HORVX""]]",[961],"[[""Leaf spot""]]"
25,9,600,Ascochyta sp.,Q74663,ASCOSP,[],[],"[[""ascochytosis"", ""Q99013460""]]"
26,9,604,Asperisporium caricae,Q4807903,ASPRCA,"[[""Carica papaya"", ""Q34887"", ""CIAPA""]]",[429],"[[""Leaf spot""], [""Black spot""]]"
27,9,605,Apple stem pitting virus,Q4781288,ASPV00,"[[""Pyrus ussuriensis"", ""Q13172138"", ""PYUUS""], [""Crataegus monogyna"", ""Q161511"", ""CSCMO""], [""Malus toringo"", ""Q52626848"", ""MABTO""], [""Sorbus discolor"", ""Q10902404"", ""SOUDI""], [""Malus sylvestris"", ""Q47161"", ""MABSY""], [""Eriobotrya japonica"", ""Q41505"", ""EIOJA""], [""Pyrus communis"", ""Q146281"", ""PYUCO""], [""Malus domestica"", ""Q18674606"", ""MABSD""], [""Pyrus pyrifolia"", ""Q838963"", ""PYUPY""], [""Cydonia oblonga"", ""Q43300"", ""CYDOB""], [""Pyrus betulifolia"", ""Q9281564"", ""PYUBE""], [""Prunus tomentosa"", ""Q627393"", ""PRNTO""]]","[1607, 547, 1176, 1887, 1174, 770, 1600, 1169, 1603, 647, 1597, 1563]","[[""Q132126199"", ""Q132126199""], [""Q132126194"", ""Q132126194""]]"
28,9,608,Kabatiella lini,Q6343943,AUREPL,"[[""Linum usitatissimum"", ""Q45108"", ""LIUUT""], [""Gossypium"", ""Q719312"", ""1GOSG""]]","[1099, 47]","[[""Q117081539"", ""Q117081539""]]"
29,8,612,Cherry leaf spot,Q10431598,BLUMJA,[],[],"[[""Q11775269"", ""Q11775269""]]"
30,8,615,Bean mild mosaic virus,Q18976428,BMMV00,"[[""Glycine max"", ""Q11006"", ""GLXMA""], [""Fabaceae"", ""Q44448"", ""1LEGF""]]","[901, 56]","[[""Bean mild mosaic""]]"
31,9,618,Beet necrotic yellow vein virus,Q4880168,BNYVV0,"[[""Cichorium intybus"", ""Q2544599"", ""CICIN""], [""Blitum capitatum"", ""Q14568269"", ""CHECA""], [""Datura stramonium"", ""Q30959"", ""DATST""], [""Polygonum aviculare"", ""Q242573"", ""POLAV""], [""Solanum nigrum"", ""Q146400"", ""SOLNI""], [""Spinacia oleracea"", ""Q81464"", ""SPQOL""], [""Sonchus arvensis"", ""Q239291"", ""SONAR""], [""Gomphrena globosa"", ""Q1200680"", ""GOMGL""], [""Sonchus asper"", ""Q1065570"", ""SONAS""], [""Portulaca oleracea"", ""Q158015"", ""POROL""], [""Plantago major"", ""Q157154"", ""PLAMA""], [""Heliotropium europaeum"", ""Q164452"", ""HEOEU""], [""Matricaria chamomilla"", ""Q28437"", ""MATCH""], [""Chenopodium vulvaria"", ""Q2119407"", ""CHEVU""], [""Chenopodium quinoa"", ""Q139925"", ""CHEQU""], [""Beta vulgaris"", ""Q165191"", ""BEAVX""], [""Cirsium arvense"", ""Q341600"", ""CIRAR""], [""Xanthium strumarium"", ""Q857159"", ""XANST""], [""Chenopodium album"", ""Q158610"", ""CHEAL""], [""Amaranthus retroflexus"", ""Q157663"", ""AMARE""], [""Persicaria maculosa"", ""Q161717"", ""POLPE""], [""Tribulus terrestris"", ""Q235889"", ""TRBTE""], [""Veronica hederifolia"", ""Q158319"", ""VERHE""], [""Lipandra polysperma"", ""Q159109"", ""CHEPO""]]","[434, 396, 680, 1491, 1848, 1890, 1872, 904, 1873, 1509, 1468, 944, 1189, 400, 399, 281, 481, 2087, 394, 193, 1494, 1958, 2033, 398]","[[""rhizomania"", ""Q25457666""]]"
32,8,620,Botrytis aclada,Q10433880,BOTRAC,"[[""Allium"", ""Q49391"", ""1ALLG""]]",[4],"[[""Neck rot""]]"
33,8,620,Botrytis fabae,Q10433893,BOTRFA,[],[],"[[""chocolate spot disease"", ""Q81080685""]]"
34,8,623,Botryosphaeria dothidea,Q4948837,BOTSDO,"[[""Malus"", ""Q104819"", ""1MABG""]]",[58],"[[""white rot"", ""Q355703""]]"
35,8,623,Botryosphaeria quercuum,Q3915701,BOTSQU,"[[""Mangifera indica"", ""Q3919027"", ""MNGIN""]]",[1219],"[[""Dieback""]]"
36,8,620,Botrytis porri,,BOTTPO,"[[""Allium"", ""Q49391"", ""1ALLG""]]",[4],"[[""Botrytis rot of garlic""]]"
37,9,628,Blackcurrant reversion virus,Q18965433,BRAV00,"[[""Ribes nigrum"", ""Q146604"", ""RIBNI""], [""Ribes fasciculatum"", ""Q1235415"", ""RIBFA""], [""Ribes"", ""Q22691"", ""1RIBG""], [""Ribes spicatum"", ""Q149485"", ""RIBSP""], [""Ribes alpinum"", ""Q149260"", ""RIBAP""], [""Ribes fragrans"", ""Q4425197"", ""RIBFR""], [""Ribes aureum"", ""Q149376"", ""RIBAU""]]","[1687, 1685, 80, 1689, 1682, 1686, 1683]","[[""blackcurrant reversion disease"", ""Q13444904""]]"
38,7,630,Bremia lactucae,Q621790,BREMLA,"[[""Lactuca sativa"", ""Q83193"", ""LACSA""], [""Cineraria"", ""Q2360058"", ""SENCR""]]","[1033, 1790]","[[""downy mildew"", ""Q1394849""]]"
39,9,634,Bean yellow mosaic virus,Q4876270,BYMV00,"[[""Phaseolus vulgaris"", ""Q42339"", ""PHSVX""], [""Cynara scolymus"", ""Q134609"", ""CYUSC""], [""Pisum sativum subsp. arvense"", ""Q149758"", ""PIBSA""]]","[1346, 659, 1360]","[[""bean yellow mosaic"", ""Q93441836""], [""Bean yellow mosaic virus infection in Lupinus"", ""Q88271400""]]"
40,9,638,Laodelphax striatellus,Q10554179,CALGMA,"[[""Zea mays"", ""Q11575"", ""ZEAMX""], [""Oryza sativa"", ""Q161426"", ""ORYSA""], [""Triticum aestivum subsp. aestivum"", ""Q21384762"", ""TRZAX""], [""Avena sativa"", ""Q12104"", ""AVESA""]]","[2088, 1276, 1968, 269]","[[""Q99336681"", ""Q99336681""]]"
41,9,640,Calonectria kyotensis,Q5023163,CALOKY,"[[""Camellia sinensis"", ""Q101815"", ""CAHSI""]]",[341],"[[""Damping off"", ""Q1500132""]]"
42,8,642,Cenangium ferruginosum,Q2013727,CENAFE,[],[],"[[""Cenangium canker"", ""Q11722813""]]"
43,9,645,Ceratocystis fagacearum,Q1991788,CERAFA,"[[""Quercus alba"", ""Q469555"", ""QUEAL""], [""Quercus imbricaria"", ""Q528713"", ""QUEIM""], [""Castanea mollissima"", ""Q699584"", ""CSNMO""], [""Quercus prinus"", ""QUEPR""], [""Quercus laevis"", ""Q2586757"", ""QUELA""], [""Castanea hybrids"", ""CSNHY""], [""Quercus lobata"", ""Q1377986"", ""QUELO""], [""Quercus fusiformis"", ""Q3009781"", ""QUEFU""], [""Quercus dumosa"", ""Q2710410"", ""QUEDU""], [""Quercus phellos"", ""Q783224"", ""QUEPH""], [""Quercus shumardii"", ""Q4112184"", ""QUESH""], [""Quercus suber"", ""Q156137"", ""QUESU""], [""Quercus kelloggii"", ""Q693392"", ""QUEKE""], [""Quercus palustris"", ""Q161253"", ""QUEPA""], [""Quercus pubescens"", ""Q161415"", ""QUEPU""], [""Quercus falcata"", ""Q1066116"", ""QUEFC""], [""Quercus velutina"", ""Q1001011"", ""QUEVE""], [""Castanea sativa"", ""Q22699"", ""CSNSA""], [""Quercus chrysolepis"", ""Q138446"", ""QUECH""], [""Chrysolepis sempervirens"", ""Q15328842"", ""CSOSE""], [""Quercus marilandica"", ""Q845791"", ""QUEMR""], [""Quercus robur"", ""Q165145"", ""QUERO""], [""Quercus stellata"", ""Q2600501"", ""QUESL""], [""Notholithocarpus densiflorus"", ""Q17271024"", ""LIADF""], [""Castanea pumila"", ""Q3662068"", ""CSNPU""], [""Quercus virginiana"", ""Q1758722"", ""QUEVI""], [""Quercus agrifolia"", ""Q514052"", ""QUEAG""], [""Quercus macrocarpa"", ""Q1082365"", ""QUEMC""], [""Quercus ilex"", ""Q218155"", ""QUEIL""], [""Quercus coccinea"", ""Q854714"", ""QUECO""], [""Quercus garryana"", ""Q2029492"", ""QUEGR""], [""Quercus texana"", ""Q7271351"", ""QUEST""], [""Quercus nigra"", ""Q4112855"", ""QUENI""], [""Quercus ellipsoidalis"", ""Q241698"", ""QUEEL""], [""Quercus muehlenbergii"", ""Q2611816"", ""QUEMU""], [""Quercus rubra"", ""Q147525"", ""QUERU""], [""Quercus wislizenii"", ""Q3009812"", ""QUEWI""], [""Quercus engelmannii"", ""Q3009480"", ""QUEEG""], [""Castanea dentata"", ""Q468698"", ""CSNDE""], [""Quercus petraea"", ""Q158608"", ""QUEPE""], [""Quercus laurifolia"", ""Q4112143"", ""QUELF""]]","[1610, 1626, 573, 1641, 1629, 572, 1631, 1621, 1616, 1639, 1645, 1649, 1628, 1637, 1642, 1619, 1650, 576, 1613, 578, 1634, 1643, 1646, 1071, 575, 1651, 1609, 1632, 1625, 1614, 1623, 1648, 1636, 1618, 1635, 1644, 1652, 1617, 570, 1638, 1630]","[[""oak wilt"", ""Q122875865""]]"
44,9,646,Ceratocystis fimbriata,Q1609427,CERAFI,"[[""Camellia sinensis var. assamica"", ""Q10933100"", ""CAHAS""], [""Ipomoea batatas"", ""Q37937"", ""IPOBA""], [""Gmelina arborea"", ""Q311345"", ""GMEAR""], [""Lactuca sativa"", ""Q83193"", ""LACSA""], [""Coffea"", ""Q156354"", ""1COFG""], [""Actinidia chinensis"", ""Q163522"", ""ATICH""], [""Eucalyptus"", ""Q45669"", ""1EUCG""], [""Hevea brasiliensis"", ""Q156538"", ""HVEBR""], [""Theobroma cacao"", ""Q42385"", ""THOCA""], [""Ananas comosus"", ""Q1493"", ""ANHCO""], [""Dimocarpus longan"", ""Q193449"", ""DMCLO""], [""Cupressus sempervirens"", ""Q147513"", ""CVBSE""], [""Mangifera indica"", ""Q3919027"", ""MNGIN""], [""Dalbergia sissoo"", ""Q1157813"", ""DAGSI""]]","[340, 996, 902, 1033, 18, 263, 40, 973, 1939, 213, 751, 622, 1219, 672]","[[""Canker""], [""Black rot""], [""Wilt""]]"
45,9,646,Ceratocystis platani,Q10445905,CERAFP,"[[""Platanus occidentalis"", ""Q157739"", ""PLTOC""], [""Platanus racemosa"", ""Q164301"", ""PLTRA""], [""Platanus x hispanica"", ""PLTHY""], [""Platanus orientalis"", ""PLTOR""]]","[1476, 1478, 1475, 1477]","[[""canker stain of plane"", ""Q12427214""]]"
46,9,646,Ceratocystis huliohia,Q84504590,CERAHU,[],[],"[[""Rapid \u02bb\u014chi\u02bba Death"", ""Q84504375""]]"
47,9,646,Ceratocystis lukuohia,Q84504694,CERALU,[],[],"[[""Rapid \u02bb\u014chi\u02bba Death"", ""Q84504375""]]"
48,9,647,Ceratocystis paradoxa,Q5063767,CERAPA,"[[""Sugarcane"", ""Q3391243"", ""SACOF""]]",[1745],"[[""Pineapple disease""], [""pineapple disease of sugarcane"", ""Q15951731""]]"
49,9,651,Ophiostoma himal-ulmi,Q10610698,CERAUL,"[[""Ulmus americana"", ""Q469382"", ""ULMAM""], [""Ulmus"", ""Q131113"", ""1ULMG""]]","[1984, 95]","[[""Dutch elm disease"", ""Q845598""]]"
50,9,652,Cercospora apii,Q5063975,CERCAP,"[[""Apium graveolens"", ""Q28298"", ""APUGV""]]",[226],"[[""early blight"", ""Q14789614""]]"
51,9,652,Cercospora beticola,Q2070817,CERCBE,"[[""Spinacia oleracea"", ""Q81464"", ""SPQOL""], [""Beta vulgaris"", ""Q165191"", ""BEAVX""]]","[1890, 281]","[[""Q25400406"", ""Q25400406""], [""Cercospora leaf spot"", ""Q25457674""]]"
52,9,652,Cercospora coffeicola,,CERCCO,"[[""Coffea"", ""Q156354"", ""1COFG""]]",[18],"[[""Brown eye spot""]]"
53,9,652,Cercospora gerberae,Q5063992,CERCGE,"[[""Osteospermum"", ""Q942384"", ""1OSPG""]]",[65],"[[""Cercospora leaf spot"", ""Q25457674""]]"
54,9,652,Cercospora longipes,Q5064002,CERCLO,"[[""Sugarcane"", ""Q3391243"", ""SACOF""]]",[1745],"[[""Brown spot""]]"
55,9,652,Cercospora nicotianae,Q5064013,CERCNI,"[[""Nicotiana tabacum"", ""Q181095"", ""NIOTA""]]",[1260],"[[""Barn spot""]]"
56,9,652,Cercospora janseana,,CERCOR,"[[""Oryza sativa"", ""Q161426"", ""ORYSA""]]",[1276],"[[""Narrow brown leaf spot""]]"
57,9,652,Cercospora sp.,Q2066868,CERCSP,[],[],"[[""cercosporiosis"", ""Q2946599""]]"
58,9,652,Cercospora zebrina,Q5064032,CERCZE,"[[""Trifolium pratense"", ""Q156635"", ""TRFPR""]]",[1963],"[[""Summer black stem""]]"
59,9,652,Cercospora zeae-maydis,Q20722432,CERCZM,[],[],"[[""corn grey leaf spot"", ""Q882181""]]"
60,9,652,Cercospora zeina,Q107560024,CERCZN,"[[""Zea mays"", ""Q11575"", ""ZEAMX""]]",[2088],"[[""Gray leaf spot""]]"
61,9,653,Pseudocercospora theae,Q7254592,CERSTH,"[[""Camellia sinensis"", ""Q101815"", ""CAHSI""]]",[341],"[[""Bird's eye spot""]]"
62,8,655,Hymenoscyphus pseudoalbidus,Q1394863,CHAAFR,"[[""Fraxinus nigra"", ""Q1790101"", ""FRXNI""], [""Fraxinus chinensis subsp. rhynchophylla"", ""Q24877905"", ""FRXRH""], [""Fraxinus ornus"", ""FRXOR""], [""Fraxinus excelsior"", ""Q156907"", ""FRXEX""], [""Fraxinus bungeana"", ""Q923901"", ""FRXBU""], [""Fraxinus pennsylvanica"", ""Q161164"", ""FRXPE""], [""Phillyrea latifolia"", ""Q784070"", ""PLRLA""], [""Fraxinus angustifolia"", ""Q518949"", ""FRXAN""], [""Fraxinus sogdiana"", ""Q1024066"", ""FRXPO""], [""Chionanthus virginicus"", ""Q140341"", ""CIOVI""], [""Phillyrea angustifolia"", ""Q1891342"", ""PLRAN""], [""Fraxinus latifolia"", ""Q1581524"", ""FRXLA""], [""Fraxinus americana"", ""Q1193369"", ""FRXAM""], [""Fraxinus mandshurica"", ""Q1357301"", ""FRXMA""], [""Fraxinus quadrangulata"", ""Q882296"", ""FRXQU""]]","[861, 866, 862, 858, 856, 863, 1474, 855, 864, 478, 1473, 859, 854, 860, 865]","[[""Ash dieback"", ""Q12856902""]]"
63,8,657,Chrysomyxa abietis,Q10451881,CHMYAB,"[[""Abies alba"", ""Q146992"", ""ABIAL""], [""Abies"", ""Q25350"", ""1ABIG""]]","[105, 1]","[[""Q111742617"", ""Q111742617""], [""Spruce needle rust"", ""Q12981943""]]"
64,10,663,Citrus necrotic spot virus,,CINSV0,"[[""Citrus x aurantium"", ""Q147096"", ""CIDAU""], [""Citrus"", ""Q81513"", ""1CIDG""], [""Citrus x aurantium var. tangerina"", ""CIDTG""], [""Citrus x aurantium var. sinensis"", ""CIDSI""], [""Citrus x aurantium var. paradisi"", ""CIDPA""]]","[439, 13, 464, 462, 457]","[[""Leprosis""]]"
65,9,666,Cladosporium cucumerinum,Q5124960,CLADCU,[],[],"[[""gummosis of cucumber"", ""Q112961460""]]"
66,9,668,Claviceps africana,Q4146019,CLAVAF,"[[""Sorghum"", ""Q12111"", ""SORVU""]]",[87],"[[""Ergot""]]"
67,9,668,Claviceps fusiformis,Q3837934,CLAVFU,"[[""Pennisetum glaucum"", ""Q654332"", ""PESGL""]]",[1321],"[[""Ergot""]]"
68,9,668,Claviceps gigantea,Q10454856,CLAVGI,"[[""Zea mays"", ""Q11575"", ""ZEAMX""], [""Zea mays"", ""Q124961380"", ""ZEAMX""]]","[2088, 2088]","[[""Ergot""]]"
69,,,Claviceps microcephala,,CLAVMI,"[[""Triticum durum"", ""Q618324"", ""TRZDU""]]",[1969],"[[""Ergot""]]"
70,9,668,Claviceps purpurea,Q217227,CLAVPU,"[[""Triticum"", ""Q12106"", ""1TRZG""], [""Secale cereale"", ""Q12099"", ""SECCE""], [""Hordeum vulgare"", ""Q11577"", ""HORVX""], [""Triticum durum"", ""Q618324"", ""TRZDU""], [""Avena sativa"", ""Q12104"", ""AVESA""]]","[93, 1783, 961, 1969, 269]","[[""Ergot""]]"
