,level,parent,name,q,eppo,hosts,corr_deseases
0,8,558,Alternaria,Q133266,1ALTEG,[],"[('Alternaria leaf spot', 'Q85741043')]"
1,8,559,Ascochyta,Q74663,1ASCOG,[],"[('ascochytosis', 'Q99013460')]"
2,2,552,Basidiomycota,Q174698,1BASIP,[],"[(""witch's broom"", 'Q755981')]"
3,8,562,Cercospora,Q2066868,1CERCG,[],"[('cercosporiosis', 'Q2946599')]"
4,7,565,Cyclaneusma,Q10464115,1CYKLG,[],"[('Cyclaneusma needle cast', 'Q25111181')]"
5,8,569,Cytospora,Q3699943,1CYTOG,[],"[('poplar canker', 'Q109018302')]"
6,6,574,Dickeya,Q5273668,1DICKG,[],"[('Blackleg [potatoes]', 'Q128829701')]"
7,7,576,Diplodia,Q5279854,1DIPDG,[],"[('diplodiosis', 'Q99532859')]"
8,7,576,Microdiplodia,Q10584285,1MCRDG,[],"[('diplodiosis', 'Q99532859')]"
9,6,581,Meloidogyne,Q2215256,1MELGG,[],"[('Q106727919', 'Q106727919')]"
10,4,584,Peronosporales,Q621829,1PEROO,[],"[('downy mildew', 'Q1394849')]"
11,8,559,Phoma,Q2066891,1PHOMG,[],"[('black wood-vessel disease', 'Q3382633'), ('Phoma blight', 'Q65306828')]"
12,6,588,Phytoplasma,Q132782,1PHYPG,[],"[('sereh disease', 'Q123113332'), (""witch's broom"", 'Q755981')]"
13,7,589,Phyllosticta,Q3901742,1PHYSG,[],"[('Q128512829', 'Q128512829')]"
14,6,590,Phytophthora,Q311294,1PHYTG,[],"[('Q110521707', 'Q110521707'), ('phytophthorosis', 'Q30916294')]"
15,6,592,Pseudomonas,Q131143,1PSDMG,[],"[('root rot of beet', 'Q99395308')]"
16,6,594,Pythium,Q2699011,1PYTHG,[],"[('black wood-vessel disease', 'Q3382633')]"
17,7,596,Sclerotinia,Q1969330,1SCLEG,[],"[('Q3475957', 'Q3475957')]"
18,7,601,Scolytinae,Q720458,1SCOLS,[],"[('Bark beetle infestation in Europe', 'Q109019501')]"
19,8,562,Septoria,Q310475,1SEPTG,[],"[('septoria leaf spot', 'Q13172878')]"
20,5,604,Streptomyces,Q1144013,1STREG,[],"[('Q80580136', 'Q80580136')]"
21,7,608,Typhula,Q4001204,1TYPHG,[],"[('Q31446282', 'Q31446282')]"
22,5,610,Pucciniales,Q1130524,1UREDO,[],"[('rust', 'Q4273292')]"
23,7,614,Ustilago,Q2361375,1USTIG,[],"[('Q25567400', 'Q25567400')]"
24,9,622,Apple chlorotic leafspot virus,Q4781267,ACLSV0,[],"[('Q114352465', 'Q114352465')]"
25,9,626,Sarocladium strictum,,ACREST,"[('Zea mays', 'Q11575', 'ZEAMX')]","[('Black bundle disease',)]"
