,level,parent,name,q,eppo
0,7,2101,Arrabidaea,Q8204880,1ABDG
1,6,68,Abies,Q25350,1ABIG
2,8,2107,Acer,Q42292,1ACRG
3,8,2107,Aesculus,Q158752,1AECG
4,8,2111,Allium,Q49391,1ALLG
5,6,2113,Amaranthaceae,Q155931,1AMAF
6,7,2116,Ananas,Q147316,1ANHG
7,8,2120,Anemone,Q158286,1ANMG
8,7,2121,Berberis,Q158503,1BEBG
9,7,22,Brassica,Q58677,1BRSG
10,6,30,Chamaecyparis,Q147791,1CHCG
11,7,5,Chenopodioideae,Q1070132,1CHES
12,8,2126,Chrysanthemum,Q59882,1CHYG
13,8,2128,Citrus,Q81513,1CIDG
14,8,2128,Citroncirus,,1CJCG
15,8,2130,Campanula,Q157069,1CMPG
16,6,30,Cryptomeria,Q5190987,1CMYG
17,8,2134,Chaenomeles,Q157616,1CNMG
18,7,2136,Coffea,Q156354,1COFG
19,6,2125,Asteraceae,Q25400,1COMF
20,7,2138,Capsicum,Q201959,1CPSG
21,8,2140,Caragana,Q849443,1CRAG
22,6,2122,Brassicaceae,Q156888,1CRUF
23,8,2134,Crataegus,Q132557,1CSCG
24,7,2142,Castanea,Q129324,1CSNG
25,7,2142,Castanopsis,Q1065400,1CSOG
26,8,2144,Cattleya,Q133733,1CTBG
27,8,2134,Cotoneaster,Q5538,1CTTG
28,8,2146,Catharanthus,Q1050790,1CTUG
29,6,2147,Cucurbitaceae,Q8314,1CUCF
30,5,2123,Cupressaceae,Q146037,1CUPF
31,6,30,x Cuprocyparis,,1CUYG
32,6,30,Cupressus,Q146911,1CVBG
33,8,2149,Crocus,Q157806,1CVOG
34,7,2150,Corylus,Q145889,1CYLG
35,8,2126,Dahlia,Q130918,1DAHG
36,7,2151,Dianthus,Q156099,1DING
37,7,2153,Dioscorea,Q71549,1DIUG
38,6,2155,Ericaceae,Q975872,1ERIF
39,7,22,Erysimum,Q165206,1ERYG
40,8,2158,Eucalyptus,Q45669,1EUCG
41,8,2159,Festuca,Q157337,1FESG
42,8,2128,Fortunella,,1FOLG
43,8,2134,Fragaria,Q745,1FRAG
44,8,2161,Galeopsis,Q161675,1GAEG
45,7,2163,Geranium,Q157211,1GERG
46,8,2149,Gladiolus,Q156207,1GLAG
47,8,2166,Gossypium,Q719312,1GOSG
48,6,2115,Poaceae,Q43238,1GRAF
49,8,2126,Helianthus,Q26949,1HELG
50,8,2168,Hyacinthus,Q158758,1HYAG
51,7,2170,Hydrangea,Q155997,1HYEG
52,7,2171,Impatiens,Q141672,1IPAG
53,6,30,Juniperus,Q25662,1IUPG
54,7,2173,Kalanchoe,Q312063,1KANG
55,6,68,Larix,Q25618,1LAXG
56,6,2139,Fabaceae,Q44448,1LEGF
57,8,2159,Lolium,Q158509,1LOLG
58,8,2134,Malus,Q104819,1MABG
59,8,2174,Mentha,Q47859,1MENG
60,7,2121,x Mahoberberis,,1MHBG
61,7,2175,Mimulus,Q159372,1MIUG
62,7,2177,Musa,Q8666090,1MUBG
63,8,2174,Nepeta,Q303820,1NEPG
64,7,2178,Opuntia,Q158991,1OPUG
65,8,2126,Osteospermum,Q942384,1OSPG
66,7,2163,Pelargonium,Q146118,1PELG
67,8,2140,Phaseolus,Q310438,1PHSG
68,5,2103,Pinaceae,Q101680,1PINF
69,2,2096,Pinophyta,Q132825,1PINP
70,8,2181,Philodendron,Q131880,1PIOG
71,6,2100,Plantaginaceae,Q1748235,1PLAF
72,8,2183,Primula,Q158974,1PRIG
73,8,2134,Prunus,Q190545,1PRNG
74,7,2189,Prunella,Q148652,1PRUNG
75,6,68,Pseudolarix,Q2664288,1PSLG
76,8,2134,Pyracantha,Q157748,1PYEG
77,8,2134,Pyrus,Q434,1PYUG
78,7,2142,Quercus,Q12004,1QUEG
79,7,38,Azalea,Q5986917,1RHOG
80,7,2190,Ribes,Q22691,1RIBG
81,8,2191,Rosa,Q34687,1ROSG
82,8,2191,Rubus,Q602740,1RUBG
83,7,2193,Salix,Q36050,1SAXG
84,7,2178,Schlumbergera,Q240857,1SBGG
85,7,2195,Scandix,Q1439641,1SCAG
86,7,2138,Solanum,Q146555,1SOLG
87,8,2196,Sorghum,Q12111,1SORG
88,8,2134,Sorbus,Q157964,1SOUG
89,8,2198,Streptocarpus,Q159180,1SRQG
90,6,30,Thuja,Q147255,1THUG
91,8,2199,Tilia,Q127849,1TILG
92,8,2140,Trifolium,Q101538,1TRFG
93,8,2159,Triticum,Q12106,1TRZG
94,8,2159,x Triticosecale,,1TTLG
95,7,2200,Ulmus,Q131113,1ULMG
96,7,38,Vaccinium,Q5079636,1VACG
97,7,71,Veronica,Q7216874,1VERG
98,8,2146,Vinca,Q220925,1VING
99,8,2204,Vitis,Q191019,1VITG
100,2,2205,herbaceous ornamental plants,,2ORNH
101,9,2206,Aconitum sp.,,AAOSS
102,9,2210,Abelia chinensis,Q160081,ABECH
103,9,2210,Abelia x grandiflora,,ABEGF
104,8,2212,Artocarpus heterophyllus,Q45757,ABFHE
105,7,1,Abies alba,Q146992,ABIAL
106,7,1,Abies balsamea,Q428023,ABIBA
107,7,1,Abies nordmanniana subsp. equitrojani,,ABIBR
108,7,1,Abies concolor,Q145939,ABICO
109,7,1,Abies grandis,Q147434,ABIGR
110,7,1,Abies lasiocarpa,Q978755,ABILA
111,7,1,Abies lasiocarpa var. arizonica,Q33133822,ABILZ
112,7,1,Abies procera,Q1283223,ABIPR
113,7,1,Abies sachalinensis,Q1520125,ABISA
114,7,1,Abies sibirica,Q852262,ABISB
115,9,2213,Abelmoschus esculentus,Q80531,ABMES
116,9,2214,Aronia melanocarpa,Q162774,ABOME
117,9,2215,Abutilon incanum,Q4670694,ABUIC
118,9,2215,Abutilon theophrasti,Q606369,ABUTH
119,9,2217,Acacia cultriformis,Q3023794,ACACL
120,9,2217,Acacia dealbata,Q757123,ACADA
121,9,2218,Vachellia farnesiana,Q23055981,ACAFA
122,9,2219,Senegalia greggii,Q32856633,ACAGR
123,9,2217,Acacia longifolia,Q2701053,ACALO
124,9,2217,Acacia melanoxylon,Q386585,ACAME
125,9,2217,Acacia saligna,Q402385,ACASA
126,9,2217,Acacia sp.,,ACASS
127,9,2222,Acalypha sp.,,ACCSS
128,9,2223,Achillea millefolium,Q25408,ACHMI
129,9,2223,Achillea ptarmica,Q1335122,ACHPT
130,8,2225,Eleutherococcus sieboldianus,Q11066056,ACPSI
131,9,2,Acer campestre,Q158785,ACRCA
132,9,2,Acer circinatum,Q568923,ACRCJ
133,9,2,Acer granatense,Q3573624,ACRGR
134,9,2,Acer griseum,Q203985,ACRGS
135,9,2,Acer japonicum,Q149269,ACRJA
136,9,2,Acer macrophyllum,Q599523,ACRMA
137,9,2,Acer negundo,Q161166,ACRNE
138,9,2,Acer oliverianum,Q3205552,ACROL
139,9,2,Acer palmatum,Q269224,ACRPA
140,9,2,Acer pensylvanicum,Q1190312,ACRPE
141,9,2,Acer platanoides,Q26745,ACRPL
142,9,2,Acer pseudoplatanus,Q156944,ACRPP
143,9,2,Acer pentapomicum,Q15287934,ACRPT
144,9,2,Acer rubrum,Q161364,ACRRB
145,9,2,Acer saccharinum,Q158301,ACRSA
146,9,2,Acer saccharum,Q214733,ACRSC
147,9,2,Acer saccharum subsp. nigrum,Q460328,ACRSN
148,9,2,Acer sp.,,ACRSS
149,9,2226,Adenocarpus lainzii,Q17440111,ADCCL
150,9,2226,Adenocarpus sp.,,ADCSS
151,9,3,Aesculus x carnea,,AECCR
152,9,3,Aesculus hippocastanum,Q26899,AECHI
153,9,3,Aesculus x hybrida,,AECHY
154,9,3,Aesculus flava,Q159620,AECOC
155,9,3,Aesculus parviflora,Q162440,AECPA
156,9,3,Aesculus pavia,Q159049,AECPV
157,9,2227,Aegilops geniculata,Q2701568,AEGGE
158,8,2228,Aechmea fasciata,Q974721,AEMFA
159,9,2230,Alectryon excelsus,Q1955888,AEYEX
160,9,2230,Alectryon sp.,,AEYSS
161,8,2231,Anethum graveolens,Q26686,AFEGR
162,9,2232,Ageratum houstonianum,Q280807,AGEHO
163,9,2232,Ageratum sp.,,AGESS
164,9,2233,Agrimonia pubescens,Q17235268,AGIPU
165,8,2235,Argyreia nervosa,Q383947,AGJNE
166,9,2236,Aglaonema pictum,Q15313823,AGLPC
