,level,parent,name,q,eppo
167,8,2237,Agrostemma githago,Q147852,AGOGI
168,9,2238,Elymus repens,Q276262,AGRRE
169,9,2239,Agrostis gigantea,Q27835,AGSGI
170,9,2239,Agrostis capillaris,Q159717,AGSTE
171,7,2242,Agathis australis,Q955413,AGTAU
172,8,2244,Ailanthus altissima,Q159570,AILAL
173,9,2245,Alcea ficifolia,Q12210628,AKAFI
174,9,2246,Acmispon americanus,Q4674417,AKMAM
175,9,2247,Albizia julibrissin,Q750307,ALBJU
176,9,2249,Vernicia fordii,Q1422363,ALEFO
177,9,2245,Alcea rosea,Q27682,ALGRO
178,9,4,Allium cepa,Q23485,ALLCE
179,9,4,Allium fistulosum,Q27938,ALLFI
180,9,4,Allium porrum,Q21870138,ALLPO
181,9,4,Allium sativum,Q23400,ALLSA
182,9,2250,Alopecurus myosuroides,Q158109,ALOMY
183,8,2252,Allionia sp.,,ALQSS
184,9,2254,Alternanthera ficoidea,Q15479578,ALRFI
185,8,2256,Alnus glutinosa,Q156904,ALUGL
186,8,2256,Alnus rubra,Q1818806,ALURB
187,8,2256,Alnus rhombifolia,Q2666303,ALURH
188,8,2256,Alnus sinuata,Q21382467,ALUSN
189,8,2256,Alnus tenuifolia,,ALUTE
190,9,2257,Amaranthus caudatus,Q162791,AMACA
191,9,2257,Amaranthus hybridus,Q1021182,AMACH
192,9,2257,Amaranthus graecizans,Q162295,AMAGR
193,9,2257,Amaranthus retroflexus,Q157663,AMARE
194,9,2257,Amaranthus spinosus,Q2881023,AMASP
195,9,2257,Amaranthus sp.,,AMASS
196,9,2257,Amaranthus x tamariscinus,,AMATA
197,9,2257,Amaranthus viridis,Q3245265,AMAVI
198,9,2258,Ambrosia bidentata,Q15585254,AMBBI
199,9,2258,Ambrosia artemisiifolia,Q682164,AMBEL
200,9,2258,Ambrosia psilostachya,Q3613854,AMBPS
201,9,2258,Ambrosia sp.,,AMBSS
202,9,2258,Ambrosia trifida,Q3090517,AMBTR
203,9,2258,Ambrosia trifida var. texana,,AMBTT
204,9,2259,Ampelopsis arborea,Q4748115,AMCAR
205,9,2259,Ampelopsis brevipedunculata var. hancei,,AMCBH
206,9,2259,Ampelopsis glandulosa var. brevipedunculata,Q1133062,AMCBR
207,9,2259,Ampelopsis cordata,Q15559755,AMCCO
208,9,2260,Amelanchier alnifolia,Q164158,AMEAL
209,9,2260,Amelanchier canadensis,Q159030,AMECA
210,9,2260,Amelanchier laevis,Q163825,AMELA
211,8,2266,Amorpha sp.,,AMORSP
212,9,2269,Anacardium occidentale,,ANAOC
213,8,6,Ananas comosus,Q1493,ANHCO
214,8,2270,Angelica sp.,,ANKSS
215,9,7,Anemone Japonica hybrids,,ANMJA
216,9,2271,Anthemis arvensis,Q20778,ANTAR
217,9,2271,Anthemis cotula,Q571357,ANTCO
218,9,2272,Chamaemelum nobile,Q5723577,ANTNO
219,9,2273,Cota palaestina,Q12236415,ANTPA
220,9,2273,Cota tinctoria,Q15551906,ANTTI
221,9,2278,Annona squamosa,Q275620,ANUSQ
222,9,2279,Allophylus edulis,Q3308800,AOLED
223,9,2281,Apocynum androsaemifolium,Q2858412,APCAN
224,9,2281,Apocynum cannabinum,Q2598218,APCCA
225,9,2282,Apios americana,Q568933,APOAM
226,8,2283,Apium graveolens,Q28298,APUGV
227,9,2285,Aquilegia canadensis,Q2846008,AQICN
228,9,2285,Aquilegia sp.,,AQISS
229,8,2286,Arabis sp.,,ARCSS
230,8,2287,Arbutus menziesii,Q469695,ARDME
231,8,2287,Arbutus unedo,Q329046,ARDUN
232,9,2288,Arctium lappa,Q26932,ARFLA
233,9,2288,Arctium minus,Q20996,ARFMI
234,9,2291,Argemone mexicana,Q683404,ARGME
235,9,2291,Argemone platyceras,Q5703604,ARGPT
236,9,2292,Arachis hypogaea,Q37383,ARHHY
237,8,2293,Arenaria sp.,,ARISS
238,8,2294,Aralia cordata,Q2473304,ARLCO
239,8,2294,Aralia spinosa,Q2666305,ARLSP
240,9,2295,Arrhenatherum elatius,Q159815,ARREL
241,9,2296,Artemisia absinthium,Q25686,ARTAB
242,9,2296,Artemisia arborescens,Q309692,ARTAO
243,9,2296,Artemisia biennis,Q583484,ARTBI
244,9,2296,Artemisia douglasiana,Q470093,ARTDO
245,9,2296,Artemisia dracunculus,Q155814,ARTDR
246,9,2296,Artemisia sp.,,ARTSS
247,9,2296,Artemisia vulgaris,Q26663,ARTVU
248,7,2297,Araucaria angustifolia,Q899179,ARUAN
249,7,2297,Araucaria araucana,Q158780,ARUAR
250,8,2298,Armoracia rusticana,Q26545,ARWLA
251,8,2298,Armoracia sp.,,ARWSS
252,8,2299,Arctostaphylos manzanita,Q2709035,ARYMA
253,8,2299,Arctostaphylos sp.,,ARYSS
254,9,2300,Astragalus sp.,,ASASS
255,9,2302,Asclepias syriaca,Q158295,ASCSY
256,9,2302,Asclepias tuberosa,Q311131,ASCTU
257,9,2303,Asimina triloba,Q948827,ASITR
258,9,2305,Asparagus acutifolius,Q1587417,ASPAC
259,9,2305,Asparagus officinalis,Q2853420,ASPOF
260,9,2306,Arctotis stoechadifolia,Q4787711,ATBST
261,8,2307,Atropanthe sinensis,Q143002,ATFSI
262,8,2308,Antirrhinum majus,Q156843,ATHMM
263,8,2310,Actinidia chinensis,Q163522,ATICH
264,8,2310,Actinidia deliciosa,,ATIDE
265,8,2316,Athyrium filix-femina,Q1345500,ATUFF
266,9,2317,Atriplex patula,Q158212,ATXPA
267,9,2317,Atriplex sp.,,ATXSS
268,9,2318,Avena fatua,Q158634,AVEFA
269,9,2318,Avena sativa,Q12104,AVESA
270,9,2319,Axonopus compressus,Q4830676,AXOCO
271,9,2320,Anthyllis barba-jovis,Q1874595,AYLBJ
272,9,2320,Anthyllis hermanniae,Q1245987,AYLHE
273,8,2321,Azara microphylla,Q4832258,AZAMI
274,9,2322,Argyranthemum maderense,Q15135940,AZGMA
275,9,2322,Argyranthemum sp.,,AZGSS
276,9,2323,Baccharis halimifolia,Q948018,BACHA
277,9,2323,Baccharis pilularis,Q1028765,BACPI
278,9,2323,Baccharis sp.,,BACSS
279,9,2324,Baptisia sp.,,BAPSS
280,9,2325,Beta vulgaris subsp. vulgaris var. cicla,,BEAVV
281,9,2325,Beta vulgaris,Q165191,BEAVX
282,8,8,Berberis canadensis,Q1723503,BEBCN
283,8,8,Berberis thunbergii,Q158397,BEBTH
284,8,8,Berberis vulgaris,Q158563,BEBVU
285,8,2327,Begonia hybrids,,BEGHY
286,8,2327,Begonia semperflorens hybrids,,BEGSH
287,9,2328,Bellis perennis,Q26158,BELPE
288,8,2329,Betula alleghaniensis,Q1499241,BETAL
289,8,2329,Betula nigra,Q1510231,BETNI
290,8,2329,Betula occidentalis,Q3926712,BETOC
291,8,2329,Betula papyrifera,Q76971,BETPA
292,8,2329,Betula pubescens,Q157624,BETPB
293,8,2329,Betula pendula,Q156895,BETPE
294,8,2329,Betula populifolia,Q1543680,BETPO
295,9,2330,Bidens pilosa,Q814421,BIDPI
296,9,2330,Bidens sp.,,BIDSS
297,8,2331,Dolichandra unguis-cati,Q3108604,BIGUC
298,9,2332,Calyptocarpus biaristatus,Q15555674,BLABI
299,9,2333,Ballota nigra,Q157878,BLLNI
300,8,2334,Benincasa hispida,Q652206,BNCHI
301,8,2335,Boerhavia diffusa,Q311457,BOEDI
302,8,2335,Boerhavia erecta,Q3336533,BOEER
303,8,2336,Spermacoce latifolia,Q15248114,BOILF
304,9,2337,Brachiaria plantaginea,Q15509271,BRAPL
305,9,2338,Urochloa eminii,Q21304303,BRARU
306,9,2339,Brachypodium distachyon,Q2352209,BRCDI
307,8,2340,Brunfelsia lactea,Q992615,BRFLA
308,9,2341,Brachyglottis sp.,,BRGSS
309,9,2342,Brickellia sp.,,BRLSS
310,8,2343,Broussonetia papyrifera,Q389185,BRNPA
311,9,2344,Bromus carinatus,Q162214,BROCN
312,9,2344,Bromus diandrus,Q161326,BRODI
313,9,2344,Bromus inermis,Q159066,BROIN
314,9,2344,Bromus rigidus,Q12219290,BRORI
315,9,2344,Bromus sp.,,BROSS
316,8,9,Brassica rapa subsp. chinensis,Q165178,BRSCH
317,8,9,Brassica juncea,Q504781,BRSJU
318,8,9,Brassica napus subsp. rapifera,Q158464,BRSNA
319,8,9,Brassica napus,Q125526553,BRSNN
320,8,9,Brassica oleracea var. viridis,Q14879985,BRSOA
321,8,9,Brassica oleracea var. botrytis,Q7537,BRSOB
322,8,9,Brassica oleracea var. gemmifera,,BRSOF
323,8,9,Brassica oleracea var. gongylodes,Q147202,BRSOG
324,8,9,Brassica oleracea var. italica,Q47722,BRSOK
325,8,9,Brassica oleracea var. capitata,Q35051,BRSOL
326,8,9,Brassica oleracea,Q146212,BRSOX
327,8,9,Brassica rapa subsp. sylvestris,Q702282,BRSRA
328,8,9,Brassica rapa,Q3384,BRSRR
329,8,9,Brassica sp.,,BRSSS
330,8,2345,Browallia speciosa,Q149763,BRWSP
331,9,2346,Briza maxima,Q140178,BRZMA
332,8,2348,Buddleia davidii,Q161538,BUDDA
333,8,2350,Bruguiera gymnorhiza,Q15386544,BUGGY
334,9,2353,Sideroxylon lanuginosum,Q15348010,BUMLA
335,9,2355,Brachychiton populneus,Q947016,BYHPO
336,8,2356,Lepidium draba,Q149440,CADDR
337,9,2357,Caesalpinia gilliesii,Q2734920,CAEGI
338,8,2358,Calystegia pubescens,Q15489860,CAGPU
339,8,2358,Calystegia sepium,Q161704,CAGSE
340,8,2360,Camellia sinensis var. assamica,Q10933100,CAHAS
341,8,2360,Camellia sinensis,Q101815,CAHSI
342,9,2361,Cajanus cajan,Q632559,CAJCA
343,8,2362,Capsella bursa-pastoris,Q27264,CAPBP
344,8,2363,Cardamine bonariensis,Q15537127,CARBO
345,8,2363,Cardamine hirsuta,Q157926,CARHI
346,9,2364,Chamaecrista fasciculata,Q5069341,CASFA
347,9,2365,Senna marilandica,Q7450837,CASMA
348,9,2366,Cassia texana,,CASTE
349,9,2365,Senna tora,Q2739004,CASTO
350,9,2367,Carthamus tinctorius,Q156625,CAUTI
351,7,2368,Calocedrus decurrens,Q1399164,CCDDE
352,9,2369,Cenchrus echinatus,Q4925284,CCHEC
353,9,2370,Parkinsonia florida,Q2052735,CCIFL
354,8,2372,Corynocarpus laevigatus,Q5477982,CCKLA
355,9,2376,Cocos nucifera,Q13187,CCNNU
356,9,2377,Calicotome spinosa,Q1550456,CCOSP
357,9,2377,Calicotome sp.,,CCOSS
358,9,2377,Calicotome villosa,,CCOVI
359,9,2379,Cercis canadensis,,CCSCA
360,9,2379,Cercis occidentalis,Q5063945,CCSOC
361,9,2379,Cercis reniformis,Q50840754,CCSRE
362,9,2379,Cercis siliquastrum,Q29488,CCSSI
363,9,2380,Codiaeum variegatum,Q1345646,CDIVA
364,9,2382,Cordyline australis,Q2379130,CDLAU
365,9,2382,Cordyline sp.,,CDLSS
366,8,2385,Comandra livida,Q39910027,CDRLI
367,8,2385,Comandra umbellata,Q15380252,CDRUM
368,8,2385,Comandra umbellata subsp. pallida,Q32794511,CDRUP
369,8,2385,Comandra umbellata subsp. umbellata,,CDRUU
370,9,2387,Camassia scilloides,Q5025007,CDSSC
371,9,2388,Cortaderia selloana,Q470109,CDTSE
372,9,2389,Codonopsis pilosula,Q1076269,CDWPI
373,8,2391,Ceanothus thyrsiflorus,Q2943644,CEATH
374,8,2392,Cereus sp.,,CEESS
375,8,2395,Celastrus orbiculatus,Q259033,CELOR
376,8,2396,Cestrum elegans,Q622894,CEMEL
377,9,2397,Plectocephalus americanus,Q468566,CENAM
378,9,2398,Centaurea cyanus,Q156921,CENCY
379,9,2398,Centaurea decipiens,Q15565039,CENDN
380,9,2399,Ceratonia siliqua,Q68763,CEQSI
381,8,2400,Cerastium glomeratum,Q1753184,CERGL
382,8,2400,Cerastium holosteoides,Q157797,CERVU
383,8,2402,Celtis laevigata,Q1529852,CETLE
384,8,2402,Celtis occidentalis,Q470006,CETOC
385,8,2402,Celtis sp.,,CETSS
386,7,2403,Cedrus atlantica,Q623489,CEUAT
387,7,2403,Cedrus deodara,Q146935,CEUDE
388,7,2403,Cedrus libani,Q61105,CEULI
389,7,2403,Cedrus sp.,,CEUSS
390,9,2404,Coelorachis cylindrica,Q5140683,CGACY
391,8,2406,Chamerion angustifolium,Q160104,CHAAN
392,7,10,Chamaecyparis lawsoniana,Q161360,CHCLA
393,7,10,Chamaecyparis thyoides,Q1744650,CHCTH
394,9,2407,Chenopodium album,Q158610,CHEAL
395,9,2408,Dysphania ambrosioides,Q640032,CHEAM
396,9,2409,Blitum capitatum,Q14568269,CHECA
397,9,2410,Chenopodiastrum murale,Q17271937,CHEMU
398,9,2411,Lipandra polysperma,Q159109,CHEPO
399,9,2407,Chenopodium quinoa,Q139925,CHEQU
400,9,2407,Chenopodium vulvaria,Q2119407,CHEVU
401,8,2412,Chamaesaracha coronopus,Q15527715,CHFCO
402,8,2413,Chilopsis linearis,Q143161,CHJLI
403,9,2414,Chelidonium majus,Q156807,CHQMA
404,9,2415,Chloris halophila,Q15512746,CHRHA
405,9,2416,Arctanthemum arcticum,Q15585742,CHYAR
406,9,2417,Tanacetum balsamita,Q1451844,CHYBA
407,9,2418,Glebionis carinata,Q24850726,CHYCA
408,9,2417,Tanacetum coccineum,Q852073,CHYCC
409,9,2417,Tanacetum cinerariifolium,Q1158053,CHYCI
410,9,2418,Glebionis coronaria,Q6585129,CHYCO
411,9,2417,Tanacetum corymbosum,Q845174,CHYCY
412,9,2322,Argyranthemum frutescens,Q2062517,CHYFR
413,9,12,Chrysanthemum x morifolium,,CHYHO
414,9,12,Chrysanthemum indicum,Q4157858,CHYIN
415,9,2419,Leucanthemum vulgare,Q27164,CHYLE
416,9,2419,Leucanthemum maximum,Q3020526,CHYMA
417,9,12,Chrysanthemum makinoi,,CHYMK
418,9,2420,Coleostephus myconis,Q519088,CHYMY
419,9,2421,Nipponanthemum nipponicum,Q18667454,CHYNI
420,9,12,Chrysanthemum nivellei,,CHYNV
421,9,2417,Tanacetum parthenium,Q818481,CHYPA
422,9,2422,Ajania pacifica,Q971214,CHYPC
423,9,2423,Leucanthemella serotina,Q15548783,CHYSR
424,9,12,Chrysanthemum sp.,,CHYSS
425,9,2422,Ajania shiwogiku,Q15578903,CHYSW
426,9,2417,Tanacetum vulgare,Q27079,CHYVU
427,9,12,Chrysanthemum yoshinaganthum,Q21263574,CHYYO
428,9,12,Chrysanthemum zawadskii,Q15226886,CHYZA
429,8,2425,Carica papaya,Q34887,CIAPA
430,9,2426,Cissus sp.,,CIBSS
431,9,2427,Cichorium endivia var. crispum,Q2963415,CICEC
432,9,2427,Cichorium endivia var. latifolia,,CICEL
433,9,2427,Cichorium endivia,Q178547,CICEN
434,9,2427,Cichorium intybus,Q2544599,CICIN
435,9,13,Citrus x limon var. bergamia,,CIDAB
436,9,13,Citrus x aurantiifolia,,CIDAF
437,9,13,Citrus karna,,CIDAK
438,9,13,Citrus myrtifolia,Q1074438,CIDAM
439,9,13,Citrus x aurantium,Q147096,CIDAU
440,9,13,Citrus celebica,Q22285551,CIDCE
441,9,13,Citrus x aurantium var. clementina,,CIDCL
442,9,13,Citrus x aurantium var. deliciosa,,CIDDE
443,9,13,Citrus maxima,Q80024,CIDGR
444,9,13,Citrus hybrids,,CIDHX
445,9,13,Citrus x limonia var. jambhiri,,CIDJA
446,9,13,Citrus x junos,,CIDJU
447,9,13,Citrus x limon,Q500,CIDLI
448,9,13,Citrus x limonia,,CIDLO
449,9,13,Citrus latipes,Q5122905,CIDLP
450,9,13,Citrus x limon var. limettioides,,CIDLT
451,9,13,Citrus x aurantiifolia var. macrophylla,,CIDMA
452,9,13,Citrus medica,Q150064,CIDME
453,9,13,Citrus limonimedica,Q5460906,CIDMS
454,9,13,Citrus x limon var. meyerii,,CIDMY
455,9,13,Citrus natsudaidai,Q453563,CIDNA
456,9,13,Citrus x nobilis,,CIDNO
457,9,13,Citrus x aurantium var. paradisi,,CIDPA
458,9,13,Citrus pennivesiculata,Q21247836,CIDPE
459,9,13,Citrus reticulata,Q125337,CIDRE
460,9,13,Citrus reshni,Q5658043,CIDRH
461,9,13,Citrus x tangelo,,CIDRP
462,9,13,Citrus x aurantium var. sinensis,,CIDSI
463,9,13,Citrus sp.,,CIDSS
464,9,13,Citrus x aurantium var. tangerina,,CIDTG
465,9,13,Citrus tankan,Q11113636,CIDTK
466,9,13,Citrus taiwanica,Q10907813,CIDTW
467,9,13,Citrus x aurantium var. unshiu,,CIDUN
468,9,13,Citrus x limonia var. volkameriana,,CIDVO
469,9,13,Citrus webberi,Q18075777,CIDWE
470,9,2428,Cicer arietinum,Q81375,CIEAR
471,8,2431,Cinnamomum burmannii,Q4115136,CINBU
472,8,2431,Cinnamomum camphora,Q158722,CINCA
473,8,2431,Cinnamomum jensenianum,Q15227665,CINJE
474,8,2431,Cinnamomum osmophloeum,Q714184,CINOS
475,8,2431,Cinnamomum verum,Q370239,CINZE
476,8,2433,Chionanthus retusus,Q1073191,CIORE
477,8,2433,Chionanthus sp.,,CIOSS
478,8,2433,Chionanthus virginicus,Q140341,CIOVI
479,8,2434,Carpinus betulus,Q158776,CIPBE
480,8,2434,Carpinus caroliniana,Q468664,CIPCA
481,9,2435,Cirsium arvense,Q341600,CIRAR
482,9,2436,Carissa macrocarpa,Q934636,CISMA
483,8,2334,Benincasa fistulosa,Q17429625,CITFI
484,8,2437,Citrullus lanatus,Q17507129,CITLA
485,8,2437,Citrullus lanatus var. citroides,,CITLC
486,8,2438,Cicuta maculata,Q5119480,CIUMC
487,9,14,Citroncirus webberi,,CJCWE
488,9,2439,x Citrofortunella microcarpa,Q849387,CJFMI
489,8,2441,Corokia cotoneaster,Q17479806,CKICO
490,8,2441,Corokia macrocarpa,Q17479807,CKIMA
491,8,2441,Corokia sp.,,CKISS
492,8,2443,Claytonia caroliniana,Q2978736,CLACA
493,9,2444,Calendula officinalis,Q145930,CLDOF
494,9,2445,Clianthus puniceus,Q1616054,CLGPU
495,9,2446,Callicarpa americana,Q151067,CLIAM
496,9,2447,Clematis cirrhosa,Q2713360,CLVCI
497,9,2447,Clematis sp.,,CLVSS
498,9,2447,Clematis vitalba,Q160100,CLVVT
499,9,2448,Melaleuca citrina,Q6810997,CLXCI
500,8,2449,Ipomoea alba,Q133294,CLYAC
501,9,2450,Cymbidium sp.,,CMFSS
502,8,2451,Campsis radicans,Q468778,CMIRA
503,9,2452,Cyamopsis tetragonoloba,Q264770,CMOTE
504,9,2453,Cosmos bipinnatus,Q575748,CMSBI
505,9,2453,Cosmos sulphureus,Q1209998,CMSSU
506,8,2454,Cannabis sativa,Q26726,CNISA
507,9,17,Chaenomeles japonica,Q158037,CNMJA
508,9,17,Chaenomeles sp.,,CNMSS
509,8,2456,Canna sp.,,CNNSS
510,9,2457,Delphinium ajacis,Q21873730,CNSAJ
511,9,2458,Callirhoe involucrata,Q5741238,COEIN
512,8,18,Coffea arabica,Q47685,COFAR
513,8,18,Coffea canephora,Q47532,COFCA
514,8,18,Coffea eugenioides,Q15430395,COFEU
515,8,18,Coffea excelsa,Q47164156,COFEX
516,8,18,Coffea hybrids,,COFHY
517,8,18,Coffea kapakata,Q15430354,COFKA
518,8,18,Coffea liberica,Q47718,COFLI
519,8,18,Coffea sp.,,COFSS
520,8,18,Coffea stenophylla,Q672410,COFST
521,8,2459,Conium maculatum,Q218041,COIMA
522,9,2463,Commelina benghalensis,Q5152272,COMBE
